Name,Gender,Age,Occupation,ZIP-code,2,56,247,260,653,673,810,885,1009,1073,1097,1126,1525,1654,1702,1750,1881,1920,1967,2017,2021,2043,2086,2087,2093,2100,2105,2138,2143,2174,2193,2253,2399,2628,2797,2872,2968,3393,3438,3439,3440,3466,3479,3489,3877,3889
Carmencita Bazell,F,25,4,775,3,1,5,0,0,1,1,0,3,0,1,1,0,0,2,1,1,1,5,4,3,4,3,4,2,1,1,2,3,1,4,0,3,2,5,5,5,0,3,3,3,1,0,3,3,1
Bordy Stealy,M,50,4,958,5,0,1,5,5,0,0,0,1,5,5,3,0,0,0,3,0,4,5,3,0,0,2,0,4,4,1,3,0,0,0,1,0,5,0,0,0,0,5,5,4,0,4,4,0,0
Jennine Cella,F,1,5,524,4,0,2,4,1,0,0,3,0,1,3,4,0,3,5,5,0,2,0,0,1,1,0,2,5,0,3,4,1,0,1,1,3,4,1,2,4,5,1,2,4,4,5,0,1,4
Fredric Bennell,M,25,11,262,3,0,1,1,0,1,4,0,3,5,1,3,2,2,5,1,4,0,4,5,0,0,2,3,2,5,3,4,0,1,3,2,0,0,2,0,5,5,3,5,0,0,1,3,5,0
Ernest Noto,M,35,11,230,0,0,0,3,4,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,4,0,4,4,1,1,0,0,0,0,5,2,0,4,5,0,4,2,4,3,5,4,0,4
Alejoa Alen,M,45,19,701,4,1,2,1,4,1,1,0,0,2,1,0,0,0,0,1,1,2,4,1,5,3,4,4,0,1,5,5,5,2,4,5,4,4,2,5,2,0,3,3,5,5,2,3,0,1
Baxter Krysztofiak,M,25,6,152,5,4,0,0,2,5,4,4,3,3,1,2,1,0,0,5,5,2,4,3,2,5,5,4,2,1,2,4,4,2,1,4,3,5,4,0,2,4,0,2,3,3,5,5,0,3
Dickie Hyndman,M,56,18,19,5,3,5,2,1,5,4,4,4,0,3,5,0,5,5,4,1,3,1,4,1,3,3,5,3,3,1,2,1,4,4,4,3,3,4,3,2,0,1,4,4,3,0,3,2,4
Noel Mundie,M,25,8,549,2,0,0,4,1,0,0,0,0,1,0,3,0,0,0,0,0,2,0,1,0,0,3,0,5,0,2,0,0,3,2,2,2,0,0,0,1,0,3,5,0,2,1,4,0,0
Izak Grinyakin,M,50,17,12,3,4,0,0,0,0,2,0,0,1,1,3,0,0,1,4,1,0,2,4,4,0,4,2,4,0,2,2,5,1,0,5,5,5,1,0,0,2,1,0,2,5,5,0,5,0
Michelina McDade,F,45,19,655,1,4,2,0,3,5,1,5,5,3,1,4,4,1,1,1,4,3,5,0,3,4,0,4,3,1,2,0,0,3,0,5,0,0,4,2,4,0,1,3,3,3,1,4,0,3
Odelia Easton,F,45,0,666,4,0,0,1,2,0,0,0,0,5,3,2,0,0,0,4,0,3,0,5,0,0,5,0,5,2,0,0,0,3,0,0,0,0,4,0,0,0,2,5,0,0,1,3,0,0
Ezekiel Gledhall,M,18,18,853,0,0,0,0,1,4,0,1,0,3,2,0,1,4,1,0,0,5,2,5,4,0,2,2,5,0,5,0,5,1,1,4,0,0,3,0,4,1,0,0,0,0,0,3,5,1
Tamas Sebastian,M,25,0,641,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,4,4,0,0,5,0,0,5,0,1,4,1,0,0,5,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0
Danette Hebborne,F,45,6,940,4,3,1,0,1,1,1,4,5,2,4,5,0,3,5,2,1,5,4,4,5,3,2,4,4,0,3,0,5,5,3,2,0,1,2,3,5,3,5,4,4,4,1,4,1,4
Kiersten Lowers,F,25,11,349,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,4,0,4,0,5,0,0,5,4,0,0,0,4,0,0,0,3,0,0,5,4,0,0,0
Gabriella Kattenhorn,F,56,1,483,4,3,1,3,0,3,2,0,0,3,3,5,0,5,2,0,1,4,4,1,1,5,3,4,1,3,5,4,0,5,0,0,3,1,4,3,1,0,2,2,4,3,5,2,0,4
Mimi Naylor,F,56,12,87,4,0,0,0,0,4,0,1,0,0,0,5,0,3,0,0,0,0,0,1,0,0,5,0,3,0,1,3,0,5,1,4,3,1,4,0,2,0,0,5,0,0,1,3,0,0
