Name,Gender,Age,Occupation,ZIP-code,2,56,247,260,653,673,810,885,1009,1073,1097,1126,1525,1654,1702,1750,1881,1920,1967,2017,2021,2043,2086,2087,2093,2100,2105,2138,2143,2174,2193,2253,2399,2628,2797,2872,2968,3393,3438,3439,3440,3466,3479,3489,3877,3889
Langsdon Maharry,M,50,14,453,3,0,0,2,0,0,2,1,1,1,0,2,1,0,5,3,1,5,1,0,0,4,0,3,5,4,5,0,5,1,2,1,1,5,1,0,0,4,1,0,0,0,4,0,5,0
Dorian Hofton,F,35,12,74,3,0,1,1,2,1,2,0,3,5,5,5,0,4,3,2,5,3,5,3,4,0,2,4,0,2,0,3,4,1,4,4,0,0,4,5,5,0,2,5,0,0,1,4,4,0
Langsdon Surridge,M,45,9,12,2,4,4,5,0,1,2,0,4,4,1,3,0,2,4,4,5,4,2,4,4,1,4,2,2,0,5,1,5,2,3,2,5,5,4,0,0,2,5,5,2,5,0,1,5,0
Alvinia McIlveen,F,50,8,132,0,0,5,5,2,0,0,0,0,2,4,1,5,0,1,0,0,5,4,0,5,3,3,4,1,2,1,0,0,4,2,5,2,0,4,4,3,3,3,0,0,1,0,0,2,0
Melessa Bridewell,F,45,19,296,4,0,0,1,1,0,0,0,0,0,5,0,0,4,0,0,0,2,0,4,0,0,4,0,2,2,4,0,3,3,3,4,0,3,5,0,0,0,5,2,4,4,5,0,0,0
Kliment Saker,M,18,5,991,2,0,4,0,0,1,1,3,5,2,4,3,4,2,0,0,2,0,0,4,5,5,2,0,5,3,0,0,0,1,2,2,5,3,4,0,4,4,4,3,2,2,0,3,4,0
Janeta Dablin,F,18,13,558,0,0,5,2,4,1,2,2,4,0,4,2,5,2,0,3,5,2,3,4,4,3,5,5,0,1,0,1,2,1,1,3,5,0,5,4,4,3,2,0,0,1,0,2,0,0
Darrick Sunnucks,M,50,9,547,1,1,1,5,4,5,1,4,2,5,1,4,3,5,0,0,0,2,3,4,2,5,3,4,3,1,5,3,4,5,1,4,3,3,4,4,1,2,3,0,1,4,4,0,0,1
Amble Carder,M,35,1,880,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,4,0,0,4,0,2,4,0,0,0,2,3,0,0,4,0,0,0,0,2,0,0,0,0,3,0,0
Suzette Branno,F,56,20,90,0,4,2,3,5,1,1,2,4,0,2,0,3,3,0,2,2,1,1,3,0,0,4,1,2,3,0,2,1,2,1,4,0,4,5,3,3,5,5,1,1,0,0,4,0,5
Erich Gudge,M,1,0,303,0,0,0,5,0,0,3,0,0,5,3,2,0,0,0,0,5,0,0,0,3,0,3,0,0,4,1,0,5,0,0,1,0,4,3,0,0,0,4,0,0,0,0,4,0,0
Lea Webburn,F,1,2,558,4,0,0,1,4,3,0,3,0,1,0,1,0,0,0,4,2,3,0,1,0,0,5,0,3,0,1,3,0,1,1,1,0,0,4,0,3,0,5,4,1,5,1,0,0,0
Nealon Christal,M,35,12,329,0,2,1,2,0,0,0,1,2,5,4,5,2,0,4,0,0,0,4,4,5,3,2,4,4,0,4,0,0,0,1,0,1,2,4,3,0,4,3,0,0,0,0,3,3,4
