Name,Gender,Age,Occupation,ZIP-code,2,56,247,260,653,673,810,885,1009,1073,1097,1126,1525,1654,1702,1750,1881,1920,1967,2017,2021,2043,2086,2087,2093,2100,2105,2138,2143,2174,2193,2253,2399,2628,2797,2872,2968,3393,3438,3439,3440,3466,3479,3489,3877,3889
Blisse Salle,F,35,3,486,3,4,3,5,5,0,0,5,0,0,4,0,0,0,3,2,4,3,0,0,4,3,0,4,1,3,1,0,5,5,0,4,4,5,0,0,0,0,0,1,0,3,0,0,0,4
Anson Truitt,M,45,13,372,5,0,2,3,3,0,0,0,0,5,5,0,0,3,0,0,3,0,0,0,0,5,4,0,1,0,2,0,2,5,3,3,4,1,5,0,3,0,5,0,0,0,5,0,0,5
Karen Parzis,F,25,6,525,5,1,0,1,5,1,4,1,0,5,5,2,0,3,5,0,4,0,2,0,2,0,4,4,3,2,4,4,3,1,0,1,5,0,5,0,1,2,5,0,0,3,4,3,3,5
Culver Vayro,M,45,4,907,5,1,2,0,5,1,0,1,2,4,0,1,1,3,0,5,4,0,4,1,1,0,4,4,4,0,2,5,2,1,2,0,5,1,2,5,2,2,1,3,0,3,5,2,5,4
Goddart Gowanson,M,18,16,912,5,3,2,2,0,2,0,0,3,1,5,2,0,3,0,2,3,0,2,0,0,0,0,0,4,4,1,3,0,4,3,2,0,4,5,1,1,2,0,0,0,0,3,5,5,1
Rosette Melross,F,18,11,292,5,0,2,5,3,3,1,1,2,2,5,3,0,5,3,4,0,0,4,0,5,3,0,4,3,3,0,5,2,2,5,1,0,1,3,5,4,0,0,3,2,4,5,1,2,5
Rafaello Brownbill,M,25,7,458,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,4,0,3,0,0,2,4,0,0,5,4,0,0,0,3,1,0,0,0,0,0,2
Marijn Leppington,M,35,4,660,2,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,3,0,0,2,0,0,0,3,4,0,3,0,4,0,0,0,0,3,0,4
Dosi Freschi,F,56,1,895,4,4,4,2,4,5,3,3,0,3,3,4,3,0,2,5,5,0,5,1,4,0,5,0,3,3,2,0,5,5,3,2,3,0,5,0,1,0,2,2,2,0,5,0,0,4
Herrick Winfindale,M,35,4,286,0,0,0,2,0,2,3,4,0,1,4,0,0,1,3,0,3,0,5,0,3,0,4,4,3,3,5,0,1,0,5,2,2,1,4,0,3,0,5,1,0,0,3,0,0,5
Glenden Philbin,M,1,12,680,4,0,1,0,4,0,0,2,0,0,4,0,2,4,0,1,5,0,0,2,4,0,0,0,4,0,1,0,4,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1
Gaye Hedden,F,1,9,520,0,0,4,2,5,0,0,0,3,5,2,5,0,5,0,0,1,4,1,0,2,1,0,0,3,4,1,1,5,3,4,2,0,3,0,0,0,4,2,0,4,0,0,0,0,1
Donnell Raiker,M,25,14,190,3,0,0,0,0,4,0,2,0,0,4,1,4,2,0,1,3,3,0,0,4,0,0,0,3,0,0,0,1,5,1,0,0,1,3,5,0,3,0,0,0,0,4,5,0,3
Dorrie Malinowski,F,25,17,313,0,0,4,3,0,2,3,0,3,3,3,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,5,0,3,4,0,5,0,0,3,2,0,0,4
Tripp Osboldstone,M,25,2,501,0,0,0,2,3,0,0,0,5,5,0,0,0,1,5,0,5,0,0,5,0,0,3,0,2,0,1,0,2,2,0,0,5,3,0,0,0,0,2,2,0,0,0,4,0,3
Joyous Trays,F,25,14,228,3,0,0,1,0,0,0,0,5,4,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,2,0,4,0,0,3,0,0,0,0,0,5,0,0,0
Aube Collumbell,M,18,13,977,0,0,1,2,2,2,2,5,5,1,4,4,0,1,3,1,0,5,2,3,3,4,0,4,4,5,0,3,3,4,4,2,3,2,3,1,0,2,5,0,3,3,2,5,0,3
Beverlie Grenshields,F,25,4,770,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,5,1,0,4,4,0,5,5,0,4,3,0,0,5,4,5,4,4,3,0,0,0,4,2,0,4
Nichols Peete,M,45,8,598,0,3,1,5,3,0,0,0,1,5,3,0,0,1,5,0,2,1,0,1,5,4,5,4,4,0,5,0,2,0,1,0,4,1,3,0,0,0,2,0,0,3,0,3,0,5
Sanderson Tabbernor,M,18,5,69,2,3,0,2,0,0,2,2,2,2,1,0,0,4,4,2,0,5,3,5,3,4,0,3,4,5,0,3,0,3,3,5,0,2,3,1,0,0,5,2,3,3,4,3,5,1
